site,SURE_year,phase,patch,H2Ohio_ID,sample_ID,topography,phase3_feature,latitude,longitude,collection_date,M3_extraction_date,WE_extraction_date,M3_analysis_date,P_mg_kgsoil,Fe_mg_kgsoil,Al_mg_kgsoil,Ca_mg_kgsoil,SPSC,PSI_analysis_date,PSI_mgP_per_100gdrysoil_over_log_umol_L,soil_PSR,NO3NO2_analysis_date,orthoP_analysis_date,NO3NO2_mg_kgsoil,orthoP_mg_kgsoil,NH3_mg_kgsoil,pH_measure_date,pH,elec_cond_measure_date,elec_cond,LOI_OM_percent
TRUC,2023,3,O,S02625,4,HM,HM,41.663167,-80.992275,20230711,20230726,NA,20230728,10.57435104,352.987014,878.7549461,NA,109.8600879,NA,NA,0.003624144,NA,NA,1.790803529,0.181724706,0.783364706,NA,NA,NA,NA,NA
TRUC,2023,3,N,S02614,6,HL,HL,41.665165,-80.991059,20230711,20230726,NA,20230727,7.523504979,291.7628346,885.8541906,NA,110.3368368,NA,NA,0.006353789,NA,NA,1.722839796,0.191663265,0.763458674,NA,NA,NA,NA,NA
TRUC,2024,1,D,NA,2,Woods,NA,41.66071,-81.009282,20240708,20240718,20240711,20240830,53.26355072,201.0840616,1336.804316,2347.530126,111.3528284,20250409,74.04972795,0.032356167,20241212,20250404,3.221833638,0.101778835,NA,20240912,4.05,20241108,NA,17.39468956
TRUC,2023,3,NA,S02637,2,Pool,BP2,41.66632833,-80.99118667,20230711,20230726,NA,20230728,2.12483105,482.9127228,757.177942,NA,111.5430827,NA,NA,0.012612635,NA,NA,2.131988687,0.025858586,1.409396364,NA,NA,NA,NA,NA
TRUC,2023,3,O,S02631,7,HM,HM,41.663128,-80.992024,20230711,20230726,NA,20230728,12.95796808,267.5936638,972.7663096,NA,113.5432363,NA,NA,0.002707741,NA,NA,2.989924078,0.237436893,1.860713786,NA,NA,NA,NA,NA
TRUC,2023,3,NA,S02639,4,Pool,BP2,41.666265,-80.99079333,20230711,20230726,NA,20230728,11.17774397,702.7587013,752.7126641,NA,114.147535,NA,NA,0.003312128,NA,NA,5.1247168,0.02555,4.2887208,NA,NA,NA,NA,NA
TRUC,2023,3,N,S02607,3,HM,HM,41.66582,-80.991172,20230711,20230726,NA,20230727,14.35269993,278.7571255,985.4779743,NA,114.2259692,NA,NA,0.006820437,NA,NA,3.242427059,0.227138824,0.994648235,NA,NA,NA,NA,NA
TRUC,2024,2,I,NA,3,Pool,NA,41.659185,-81.002314,20240708,20240718,20240711,20240830,4.823845817,1732.662896,220.7267503,7787.716785,116.4341226,20250409,157.1759983,0.003978168,20241212,20250404,0.088378928,0.10487069,NA,20240912,5.7,20241108,1122,10.49837747
TRUC,2023,3,O,S02629,6,HM,HM,41.663163,-80.99224,20230711,20230726,NA,20230728,9.886074655,250.9129556,980.4778986,NA,116.577138,NA,NA,0.004405365,NA,NA,3.89275604,0.24436396,1.339684752,NA,NA,NA,NA,NA
TRUC,2024,3,O,S02726,2,HL,HL,41.6632,-80.9923,20240709,20240723,20240712,20240918,1.693111359,152.4940932,967.9215524,3626.23428,117.8802597,20250409,58.67368,0.00141596,20241212,20250404,0.212900152,0.097866984,NA,20240913,6.31,20241108,22.54,3.034892294
TRUC,2024,2,J,NA,3,HL,NA,41.66828,-80.991496,20240709,20240723,20240712,20240830,3.633930059,322.7276043,910.6685015,6813.493455,118.7895834,20250414,61.78951192,0.002968327,20241212,20250404,0.25024567,0.098275417,NA,20240913,6.77,20241108,26.15,9.411016612
TRUC,2024,2,J,NA,3,HM,NA,41.66828,-80.991496,20240709,20240723,20240712,20240830,4.785928323,307.7040592,939.8104289,5966.882783,120.1518496,20250414,63.61214778,0.003830649,20241212,20250404,0.209321539,0.097578462,NA,20240913,6.44,20241108,29.03,9.410661559
TRUC,2023,3,O,S02624,3,HL,HL,41.663484,-80.991905,20230711,20230726,NA,20230728,5.798036526,247.8330787,1011.37493,NA,124.04212,NA,NA,0.003870124,NA,NA,1.4715883,0.0255875,0.6388687,NA,NA,NA,NA,NA
TRUC,2023,3,N,S02613,6,HM,HM,41.665165,-80.991059,20230711,20230726,NA,20230727,5.765467639,218.9396127,1034.308168,NA,125.1083046,NA,NA,0.00525793,NA,NA,1.227014857,0.167464,0.552611429,NA,NA,NA,NA,NA
TRUC,2024,1,A,NA,2,Pool,NA,41.66248,-81.009927,20240708,20240718,20240711,20240830,5.393593953,1320.927532,500.9180999,5114.623578,125.241999,20250409,80.26837549,0.004128732,20241212,20250404,0.084826494,0.288369493,NA,20240912,5.36,20241108,82.33,6.342980527
TRUC,2024,3,N,S02716,1,HM,HM,41.6653,-80.9919,20240709,20240723,20240712,20240918,5.896743916,193.1954662,1054.377343,7402.054947,125.8561445,20250414,58.56245,0.004475609,20241212,20250404,0.912727205,0.28167897,NA,20240913,6.52,20241108,55.3,8.272617181
TRUC,2024,1,B,NA,3,Pool,NA,41.661748,-81.007723,20240708,20240718,20240711,20240830,15.0589647,820.1064143,848.716725,3197.028435,127.7850368,20250414,94.75391998,0.010542245,20241212,20250404,0.085677014,0.10166459,NA,20240912,5.04,20241108,127.7,13.28541849
TRUC,2023,3,O,S02623,3,HM,HM,41.663484,-80.991905,20230711,20230726,NA,20230728,6.243271311,251.4513292,1055.257546,NA,128.8355556,NA,NA,0.011162582,NA,NA,1.464753398,0.172254369,0.690002913,NA,NA,NA,NA,NA
TRUC,2024,3,N,S02720,2,HL,HL,41.6652,-80.9915,20240709,20240723,20240712,20240918,5.150760413,144.2910442,1103.832026,3372.835994,129.5730492,20250409,61.74017956,0.0038232,20241212,20250404,0.229121121,0.097214778,NA,20240913,5.63,20241108,35.65,3.640965344
TRUC,2024,3,O,S02722,1,HM,HM,41.6629,-80.9919,20240709,20240723,20240712,20240918,8.55578074,207.9974752,1106.019659,7094.604415,129.9458075,20250409,58.54945035,0.006177388,20241212,20250404,2.513231693,0.308184232,NA,20240913,6.01,20241108,56.22,7.948108536
TRUC,2023,3,N,S02603,1,HM,HM,41.665665,-80.992141,20230711,20230725,NA,20230727,5.831438743,198.2995444,1089.63791,NA,130.2524323,NA,NA,0.002125416,NA,NA,1.054882745,0.194229804,0.911744706,NA,NA,NA,NA,NA
TRUC,2024,3,N,S02721,3,HL,HL,41.665,-80.9921,20240709,20240723,20240712,20240918,2.38932717,207.7744312,1059.024214,7114.72172,130.7041407,20250414,63.67659979,0.001795225,20241212,20250404,0.222223333,0.096601905,NA,20240913,6.14,20241108,28.74,6.319554055
TRUC,2023,3,N,S02616,7,HL,HL,41.664865,-80.992081,20230711,20230726,NA,20230727,2.95204898,302.6756136,1018.42107,NA,130.7330348,NA,NA,0.002772776,NA,NA,1.980739904,0.150215192,0.894553269,NA,NA,NA,NA,NA
TRUC,2024,3,O,S02725,1,HL,HL,41.6629,-80.9919,20240709,20240723,20240712,20240918,4.10547169,358.7853539,1001.745697,5383.011752,130.771107,20250414,65.9262092,0.003043873,20241212,20250404,1.277407424,0.099747179,NA,20240913,6.43,20241108,54.9,6.387265365
TRUC,2023,3,N,S02609,4,HM,HM,41.66534,-80.991889,20230711,20230726,NA,20230727,4.929115372,221.8772269,1077.606687,NA,131.0785862,NA,NA,0.001399134,NA,NA,1.642004272,0.160044466,0.850573398,NA,NA,NA,NA,NA
TRUC,2024,3,N,S02717,2,HM,HM,41.6652,-80.9915,20240709,20240723,20240712,20240918,6.792222175,254.5416547,1083.669584,6849.688452,131.7197992,20250414,58.49847165,0.004903706,20241212,20250404,0.927045,0.10044,NA,20240913,6.56,20241108,NA,7.83210645
TRUC,2023,3,O,S02621,2,HM,HM,41.663512,-80.991643,20230711,20230726,NA,20230727,10.0322273,311.09879,1084.880311,NA,131.7496448,NA,NA,0.024921049,NA,NA,1.5664984,0.29013,1.7159408,NA,NA,NA,NA,NA
TRUC,2023,3,N,S02608,3,HL,HL,41.66582,-80.991172,20230711,20230726,NA,20230727,5.32297332,316.0444142,1045.551413,NA,132.2171343,NA,NA,0.00167837,NA,NA,1.907459709,0.151513107,0.903258932,NA,NA,NA,NA,NA
